Category-Item,vehicle-class,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Comfort-Start button,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Electric Engine-Battery range,Electric Engine-Power consumption,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Exterior sizes-Ground clearance,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area,Class-Euro standard car segments
20605,F,28014,yes,yes,yes,yes,,1990,yes,yes,no,,fuel engine,diesel,180,500,front+rear,,,,,,,,,,,1.45,5.059,2.881,1.903,,2967,particle filter,6,dohc,common rail,90,4000,180,1500,500,yes,4,sedan,4,available,108890,5,2013,automatic,8.3,8.5,224,G,6.7,238,11.6,3.33,2100,2133,2760,100,91.4,313.18,334.1747573,[4.17- 2.34- 1.52- 1.14- 0.87- 0.69],2072.25,2147.25,2172.25,2150,2.75935,F
1324,F,1516,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,224,420,rear,,,,,,,,,,,1.455,5.215,3.159,1.86,,4196,regular,8,dohc,multipoint injection,85,6000,224,4100,420,no,4,sedan,4,2009,121090,5,2009,automatic,6.6,11.4,269,G,8.4,250,16.7,2.87,1850,1615,2246,75,90.3,320.86,333.3009709,[4.17- 2.34- 1.52- 1.14- 0.87- 0.69],1557.625,1632.625,1657.625,1590,2.7063,F
9882,F,12375,yes,yes,yes,yes,,yes,yes,yes,no,,fuel engine,petrol,301,550,rear,,,,,,,,,,,1.481,5.262,3.171,1.948,,2979,regular,6,dohc,direct injection,80,5500,301,1750,550,yes,4,sedan,4,available,139821,5,2014,automatic,5.1,10.5,244,F,7.7,285,15.3,3.73,,1920,2540,,84.5,327.295,341.3106796,[3.29- 2.16- 1.61- 1.27- 1.03- 0.85],1866,1941,1966,1930,2.884988,F
9885,F,12378,yes,yes,yes,yes,,yes,yes,yes,no,,fuel engine,diesel,301,550,rear,,,,,,,,,,,1.481,5.262,3.171,1.948,,2987,particle filter,6,dohc,common rail,70,4000,202,2000,600,yes,4,sedan,4,available,112312,5,2014,automatic,6.4,6.2,163,B,5.2,250,7.8,3.73,,1795,2540,,92,327.295,341.3106796,[3.29- 2.16- 1.61- 1.27- 1.03- 0.85],1747.75,1822.75,1847.75,1810,2.884988,F
4957,F,6112,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,373,999,rear,,,,,,,,,,,1.515,5.4,3.116,1.9,,6761,regular,8,ohv,multipoint injection,96,4200,373,3200,999,yes,2,sedan,4,2010,,5,2007,automatic,5.5,19.5,465,G,14.1,288,28.8,2.69,,2585,3065,,99.1,330.805,345.6796117,[2.48- 1.48- 1.0- 0.75],2520.2,2595.2,2620.2,2270,2.8785,F
44856,F,63851,yes,yes,yes,yes,,no,yes,yes,no,,fuel engine,petrol,442,780,rear,,,,,,,,,,,1.507,5.269,3.112,1.947,,6592,regular,12,dohc,multipoint injection,83,5600,465,1500,800,yes,4,coup?,2,available,360000,5,2014,automatic,4.6,14,327,G,9.8,250,21.2,2.81,1600,2335,2810,,88.3,343.505,358.0097087,[4.71- 3.14- 2.11- 1.67- 1.29- 1.0- 0.84- 0.67],2278.975,2353.975,2378.975,2270,2.934129,F
18195,F,24510,yes,yes,yes,yes,,yes,yes,yes,no,,fuel engine,petrol,280,493,front+rear,,,,,,,,,,,1.465,5.03,2.97,1.875,,4608,regular,8,dohc,direct injection,84,6400,280,4100,493,no,4,sedan,4,2010,152380,5,2008,automatic,5.7,11.1,261,G,8.4,250,14.9,2.94,1850,,,,83,320.25,336.0194175,[4.6- 2.72- 1.86- 1.46- 1.23- 1.0- 0.82- 0.69],,,,,2.746875,F
5595,S,6869,yes,yes,yes,yes,,966,yes,yes,yes,,fuel engine,petrol,235,450,front+rear,,,,,,,,,,,1.365,4.894,2.855,1.894,,2979,regular,6,dohc,direct injection,70,5800,235,1300,450,yes,4,cabriolet,2,available,120895,4,2015,automatic,5.4,8.2,191,D,6.3,250,11.4,3.23,2050,1865,2390,0,89.6,314.595,328.9805825,[4.71- 3.14- 2.11- 1.67- 1.29- 1.0- 0.84- 0.67],1817.75,1892.75,1917.75,1930,2.58531,S
5603,S,6877,yes,yes,yes,yes,,966,yes,yes,yes,,fuel engine,diesel,230,630,front+rear,,,,,,,,,,,1.369,4.894,2.855,1.894,,2993,regular,6,dohc,common rail,70,4400,230,1500,630,yes,4,coup?,2,available,102800,4,2015,automatic,5.1,5.5,146,C,5,250,6.4,2.81,1750,1770,2315,75,90,312.425,329.7572816,[4.71- 3.14- 2.11- 1.67- 1.29- 1.0- 0.84- 0.67],1722.75,1797.75,1822.75,1810,2.592886,S
18831,S,25445,yes,yes,yes,no,,no,yes,yes,yes,,fuel engine,petrol,150,310,rear,,,,,,,,,,,1.301,4.134,2.43,1.81,,1796,regular,4,dohc,direct injection,60,5500,150,2000,310,yes,4,cabriolet,2,available,52250,2,2012,manual,6.5,6.9,160,E,5.3,244,9.5,3.27,2750,1375,1790,50,85,294.875,307.9126214,[4.46- 2.61- 1.72- 1.25- 1.0- 0.84],1334.5,1409.5,1434.5,1360,2.35481,S
